epochMillis,offsetMs,clientId,opType,latencyMs,success,errorDetail
1782062229807,210,load041,GROUP_DELIVERY,7.000,true,
1782062229807,210,load054,GROUP_DELIVERY,6.000,true,
1782062229807,210,load039,GROUP_DELIVERY,2.000,true,
1782062229808,211,load047,GROUP_DELIVERY,53.000,true,
1782062229809,212,load042,GROUP_DELIVERY,4.000,true,
1782062229809,212,load056,GROUP_DELIVERY,26.000,true,
1782062229809,212,load041,GROUP_DELIVERY,32.000,true,
1782062229810,213,load047,GROUP_DELIVERY,40.000,true,
1782062229810,213,load038,GROUP_DELIVERY,40.000,true,
1782062229810,213,load033,GROUP_DELIVERY,9.000,true,
1782062229811,214,load041,CREATE_GROUP,-1.000,false,Usuario 'load042' no conectado.
1782062229811,214,load053,GROUP_DELIVERY,11.000,true,
1782062229811,214,load045,GROUP_DELIVERY,10.000,true,
1782062229812,215,load054,GROUP_DELIVERY,7.000,true,
1782062229812,215,load059,GROUP_DELIVERY,57.000,true,
1782062229813,216,load038,GROUP_DELIVERY,58.000,true,
1782062229813,216,load035,GROUP_DELIVERY,30.000,true,
1782062229814,217,load053,GROUP_DELIVERY,37.000,true,
1782062229816,219,load056,GROUP_DELIVERY,16.000,true,
1782062229816,219,load033,GROUP_DELIVERY,11.000,true,
1782062229816,219,load044,GROUP_DELIVERY,39.000,true,
1782062229816,219,load057,GROUP_DELIVERY,15.000,true,
1782062229816,219,load050,GROUP_DELIVERY,25.000,true,
1782062229817,220,load059,GROUP_DELIVERY,34.000,true,
1782062229818,221,load045,GROUP_DELIVERY,13.000,true,
1782062229818,221,load056,GROUP_DELIVERY,41.000,true,
1782062229818,221,load035,GROUP_DELIVERY,18.000,true,
1782062229818,221,load041,GROUP_DELIVERY,27.000,true,
1782062229818,221,load036,GROUP_DELIVERY,17.000,true,
1782062229818,221,load038,GROUP_DELIVERY,35.000,true,
1782062229818,221,load057,GROUP_DELIVERY,13.000,true,
1782062229819,222,load047,GROUP_DELIVERY,19.000,true,
1782062229819,222,load048,GROUP_DELIVERY,18.000,true,
1782062229819,222,load050,CREATE_GROUP,0.294,true,
1782062229820,223,load035,GROUP_DELIVERY,43.000,true,
1782062229820,223,load050,GROUP_DELIVERY,2.000,true,
1782062229820,223,load036,GROUP_DELIVERY,15.000,true,
1782062229822,225,load050,GROUP_DELIVERY,2.000,true,
1782062229823,226,load048,GROUP_DELIVERY,18.000,true,
1782062229830,233,load050,GROUP_DELIVERY,2.000,true,
